---
name: android_pinyin_simple
version: "0.1"
sort: by_weight
...
鼥	ba  1
偏	pian	3154
骗	pian	5244
篇	pian	6897
片	pian	10277
犥	piao	1
旚	piao	1
蔈	piao	1
篻	piao	1
驫	piao	1
皫	piao	1
醥	piao	1
魒	piao	1
翲	piao	1
彯	piao	2
顠	piao	2
慓	piao	2
髟	piao	2
縹	piao	2
莩	piao	3
飃	piao	3
僄	piao	3
謤	piao	3
薸	piao	3
骠	piao	8
螵	piao	11
嘌	piao	13
飄	piao	14
殍	piao	14
缥	piao	25
剽	piao	28
瓢	piao	186
瞟	piao	249
嫖	piao	326
朴	piao	351
漂	piao	901
飘	piao	2377
票	piao	8192
覕	pie	1
暼	pie	2
潎	pie	2
嫳	pie	3
氕	pie	3
苤	pie	13
丿	pie	132
瞥	pie	276
撇	pie	408
礗	pin	1
驞	pin	1
砏	pin	1
顰	pin	2
矉	pin	2
玭	pin	2
嚬	pin	3
貧	pin	8
頻	pin	9
榀	pin	10
蘋	pin	16
嬪	pin	23
牝	pin	31
拚	pin	52
姘	pin	58
颦	pin	87
嫔	pin	111
聘	pin	488
贫	pin	633
频	pin	807
拼	pin	2301
品	pin	4693
涄	ping	1
竮	ping	1
塀	ping	1
艵	ping	1
郱	ping	1
甹	ping	1
蛢	ping	1
缾	ping	1
鮃	ping	1
輧	ping	1
淜	ping	2
荓	ping	2
鉼	ping	2
軿	ping	2
頩	ping	2
蓱	ping	2
玶	ping	2
砯	ping	2
岼	ping	2
屛	ping	3
泙	ping	3
洴	ping	3
甁	ping	3
俜	ping	5
帡	ping	5
倗	ping	7
評	ping	12
憑	ping	16
鲆	ping	19
呯	ping	23
枰	ping	25
乒	ping	42
娉	ping	59
苹	ping	239
坪	ping	752
萍	ping	1275
屏	ping	1954
瓶	ping	2338
评	ping	2386
凭	ping	2937
平	ping	8010
烞	po	1
鏺	po	1
釙	po	1
馞	po	1
猼	po	1
岶	po	1
蒪	po	1
翍	po	1
溌	po	1
繁	po	1
濼	po	1
醱	po	2
岥	po	2
謈	po	2
髆	po	2
尃	po	2
桲	po	2
哱	po	2
钷	po	3
昢	po	3
笸	po	4
朴	po	5
櫇	po	6
潑	po	6
搫	po	10
泺	po	12
頗	po	12
钋	po	16
陂	po	16
鄱	po	20
叵	po	31
皤	po	35
粕	po	50
攴	po	125
珀	po	129
泊	po	165
巿	po	179
魄	po	213
迫	po	334
泼	po	655
婆	po	1035
颇	po	1077
坡	po	1135
破	po	7313
捊	pou	2
襃	pou	2
垺	pou	6
裒	pou	7
棓	pou	9
掊	pou	12
婄	pou	12
抔	pou	14
剖	pou	252
瞨	pu	1
鏷	pu	1
獛	pu	1
烳	pu	1
駇	pu	1
痡	pu	1
鯆	pu	1
鵏	pu	1
舗	pu	1
抪	pu	2
蒱	pu	2
襆	pu	2
镤	pu	3
潽	pu	3
墣	pu	4
酺	pu	4
暴	pu	4
鐠	pu	5
僕	pu	6
舖	pu	6
樸	pu	7
鋪	pu	8
纀	pu	10
譜	pu	10
匍	pu	10
镨	pu	11
氆	pu	14
撲	pu	19
蹼	pu	20
堡	pu	28
脯	pu	28
菩	pu	42
莆	pu	52
曝	pu	65
溥	pu	79
埔	pu	103
濮	pu	119
圃	pu	126
璞	pu	136
葡	pu	175
仆	pu	181
瀑	pu	195
噗	pu	239
朴	pu	438
蒲	pu	558
浦	pu	752
谱	pu	944
扑	pu	1248
铺	pu	1930
普	pu	2270
呣	m	9
嘸	m	11
呒	m	18
礣	ma	1
榪	ma	1
溤	ma	1
鷌	ma	1
蟇	ma	1
鬕	ma	1
痳	ma	1
螞	ma	2
禡	ma	2
摩	ma	2
犘	ma	2
痲	ma	2
嬤	ma	2
嘜	ma	3
傌	ma	3
犸	ma	5
鎷	ma	16
孖	ma	18
瑪	ma	18
碼	ma	20
蚂	ma	23
蟆	ma	30
杩	ma	32
罵	ma	34
麽	ma	36
媽	ma	36
么	ma	41
馬	ma	79
抹	ma	85
嗎	ma	335
玛	ma	1222
麻	ma	2636
码	ma	4046
骂	ma	9164
妈	ma	9875
马	ma	12498
嘛	ma	70739
吗	ma	220137
鷶	mai	1
嘪	mai	1
霢	mai	1
勱	mai	2
邁	mai	5
荬	mai	7
脈	mai	10
売	mai	11
麥	mai	16
賣	mai	42
買	mai	74
霾	mai	81
唛	mai	81
劢	mai	85
脉	mai	973
迈	mai	1161
埋	mai	2001
麦	mai	2514
卖	mai	35689
买	mai	100275
鞔	man	0
鬗	man	1
饅	man	1
屘	man	1
蟃	man	1
樠	man	1
鰻	man	1
矕	man	2
蘰	man	2
獌	man	2
慲	man	2
謾	man	2
睌	man	3
瞞	man	3
縵	man	3
僈	man	4
埋	man	5
镘	man	5
墁	man	8
姏	man	9
鏝	man	10
顢	man	10
颟	man	14
鬘	man	15
缦	man	22
嫚	man	24
馒	man	26
谩	man	29
蠻	man	39
滿	man	53
鳗	man	60
幔	man	81
熳	man	119
螨	man	125
蔓	man	149
瞒	man	399
漫	man	945
曼	man	1506
蛮	man	9290
满	man	12039
慢	man	14352
壾	mang	0
蛖	mang	1
痝	mang	1
娏	mang	1
蘉	mang	1
龒	mang	1
杗	mang	1
哤	mang	1
蠎	mang	2
駹	mang	2
汒	mang	2
硥	mang	2
牻	mang	2
鋩	mang	3
硭	mang	4
邙	mang	7
笀	mang	7
漭	mang	8
厖	mang	32
氓	mang	68
蟒	mang	93
茫	mang	124
莽	mang	136
芒	mang	468
盲	mang	663
忙	mang	29641
鶜	mao	1
蝐	mao	1
渵	mao	1
毷	mao	1
枆	mao	1
軞	mao	1
鉚	mao	1
蓩	mao	1
酕	mao	1
錨	mao	1
皃	mao	2
冐	mao	2
犛	mao	2
媢	mao	2
貿	mao	2
鄮	mao	2
眊	mao	3
鄚	mao	3
芼	mao	3
楙	mao	3
蝥	mao	3
秏	mao	3
氂	mao	4
瞀	mao	4
蟊	mao	5
泖	mao	7
袤	mao	8
牦	mao	14
耄	mao	19
髦	mao	20
峁	mao	21
瑁	mao	25
茆	mao	28
旄	mao	37
昴	mao	43
貓	mao	60
铆	mao	68
懋	mao	93
锚	mao	164
卯	mao	178
贸	mao	297
貌	mao	389
矛	mao	393
茅	mao	450
帽	mao	811
茂	mao	933
冒	mao	3290
冇	mao	3377
猫	mao	8212
毛	mao	10979
嚜	me	15
麼	me	134
麽	me	1767
么	me	110511
虋	men	1
椚	men	1
懣	men	1
璊	men	1
捫	men	1
殙	men	2
燜	men	2
鍆	men	2
菛	men	3
钔	men	5
暪	men	5
鞔	men	8
亹	men	8
懑	men	9
悶	men	15
悗	men	22
満	men	34
扪	men	46
門	men	66
們	men	224
焖	men	238
闷	men	3034
门	men	14714
们	men	65806
瓾	meng	1
