# Rime user dictionary
#@/db_name	young_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	3923
#@/user_id	rime-android
a 	啊	c=2 d=0.636468 t=3923
chong zhi 	充值	c=1 d=4.88261e-08 t=3923
chong zhi 	重置	c=8 d=1.7348 t=3923
chong zhi yi xia 	重置一下	c=1 d=4.90709e-08 t=3923
chong zhuang 	重装	c=1 d=0.092089 t=3923
chou 	抽	c=1 d=1 t=3657
chou chu 	抽搐	c=1 d=0.960789 t=3923
chou wen 	丑闻	c=1 d=0.0235177 t=3923
chu 	出	c=3 d=0.00263882 t=3923
chu 	楚	c=0 d=0.0386741 t=3923
chu fa 	处罚	c=1 d=1.05964e-05 t=3923
chu fa 	触发	c=1 d=0.951229 t=3923
chu gui 	出轨	c=1 d=0.995012 t=3923
chu lai 	出来	c=4 d=1.21793 t=3923
chu lai le 	出来了	c=1 d=2.54851e-06 t=3923
chu le 	除了	c=1 d=0.802519 t=3923
chu li 	处理	c=6 d=1.48825 t=3923
chu qi 	出奇	c=1 d=0.615697 t=3923
chu qu 	出去	c=1 d=0.126818 t=3923
chu shi hua 	初始化	c=4 d=0.0088248 t=3923
chu shu 	出书	c=1 d=0.00152616 t=3923
chu xian 	出现	c=3 d=0.00168254 t=3923
chu xian guo 	出现过	c=2 d=0.000740154 t=3923
chu xian shi jian 	出现时间	c=1 d=5.14449e-05 t=3923
chuai zhe 	揣着	c=1 d=0.960789 t=3923
chuan 	传	c=0 d=0.000372073 t=3923
chuan gei 	传给	c=0 d=0.000323088 t=3923
chuan gei wo 	传给我	c=1 d=0.00324708 t=3923
chuan jin lai 	传进来	c=1 d=7.82971e-05 t=3923
chuan ru 	传入	c=1 d=1.03347e-05 t=3923
chuan yi xia 	传一下	c=1 d=0.00366107 t=3923
chuang jian 	创建	c=1 d=0.191092 t=3923
chun 	蠢	c=1 d=0.00290884 t=3923
ci 	次	c=2 d=0.136695 t=3923
ci 	词	c=0 d=0.00784731 t=3923
ci chu 	此处	c=3 d=0.798516 t=3923
ci ci 	此次	c=1 d=1.98958e-05 t=3923
ci dian 	词典	c=2 d=0.847003 t=3923
ci ji 	刺激	c=0 d=0.0621885 t=3923
ci ku 	词库	c=1 d=0.412714 t=3923
ci pan 	磁盘	c=1 d=0.024234 t=3923
ci pin 	词频	c=2 d=8.61877e-08 t=3923
ci shi 	此时	c=1 d=0.0510474 t=3923
ci shu 	次数	c=3 d=0.552221 t=3923
ci zhi 	辞职	c=1 d=0.782947 t=3923
ci zu 	词组	c=2 d=1.81425 t=3923
cong 	从	c=1 d=0.00298761 t=3923
cong lai 	从来	c=1 d=0.786628 t=3923
cong wei 	从未	c=3 d=0.00947419 t=3923
cuan gai 	篡改	c=1 d=0.00634556 t=3923
cui hun 	催婚	c=2 d=0.214526 t=3923
cun zai 	存在	c=3 d=0.0515605 t=3923
cuo 	错	c=2 d=0.0227166 t=3923
cuo le 	错了	c=1 d=0.0784731 t=3923
cuo wu 	错误	c=3 d=0.361169 t=3923
cuo wu ma 	错误码	c=2 d=1.63589e-05 t=3923
da 	大	c=1 d=0.000589431 t=3923
da 	打	c=1 d=0.0138069 t=3923
da bao 	打包	c=4 d=1.7569 t=3923
da chang 	大厂	c=1 d=0.755784 t=3923
da dian hua 	打电话	c=1 d=0.115903 t=3923
da gai 	大概	c=0 d=0.000150344 t=3923
da gai lv 	大概率	c=1 d=0.00151098 t=3923
da ge 	打个	c=0 d=0.0847894 t=3923
da ge bao 	打个包	c=1 d=0.852144 t=3923
da hao 	大号	c=0 d=0.0937067 t=3923
da hui qu 	打回去	c=1 d=0.138761 t=3923
da jia 	大家	c=1 d=0.010889 t=3923
da kai 	打开	c=2 d=0.97531 t=3923
da ke neng 	大可能	c=0 d=0.00203434 t=3923
da le 	打了	c=1 d=0.254107 t=3923
da lian 	打脸	c=1 d=0.000558643 t=3923
da liang 	大量	c=0 d=1.62921e-08 t=3923
da liang qing qiu 	大量请求	c=1 d=1.63738e-07 t=3923
da luan 	打乱	c=2 d=0.202656 t=3923
da mie 	达咩	c=2 d=0.000935021 t=3923
da nao 	大脑	c=1 d=0.168638 t=3923
da suan 	打算	c=0 d=0.1 t=3685
da wen ti 	大问题	c=1 d=7.61927e-08 t=3923
da xia 	大侠	c=1 d=4.73831e-08 t=3923
da xia gu 	大峡谷	c=1 d=1 t=3806
da xiao 	大小	c=1 d=0.371577 t=3923
da xie 	大写	c=4 d=0.231913 t=3923
